"data";"Dívida líquida do governo geral (% PIB)"
"01/10/2020";"66,16"
"01/11/2020";"66,15"
"01/12/2020";"66,77"
"01/01/2021";"66,28"
"01/02/2021";"66,31"
"01/03/2021";"65,93"
"01/04/2021";"64,22"
"01/05/2021";"63,43"
"01/06/2021";"63,48"
"01/07/2021";"63,43"
"01/08/2021";"62,91"
"01/09/2021";"62,91"
