index_date;government_debt_%gdp
2001-12-01;49.4708479553832
2002-01-01;49.8819658723836
2002-02-01;49.3541018641789
2002-03-01;49.3594881878823
2002-04-01;49.6209467832107
2002-05-01;50.3348280444381
2002-06-01;52.3068052581222
2002-07-01;56.7409877464526
2002-08-01;52.935881441315
2002-09-01;60.0404585283763
2002-10-01;57.7667079479648
2002-11-01;58.424251740804
2002-12-01;57.8870130418251
2003-01-01;57.911067433645
2003-02-01;58.3116898353505
2003-03-01;57.3351339227448
2003-04-01;53.9000211066297
2003-05-01;53.9727284557448
2003-06-01;53.3991913227785
2003-07-01;53.9477669295333
2003-08-01;54.2373286686217
2003-09-01;52.5919432688219
2003-10-01;51.5378380774435
2003-11-01;52.3128559599649
2003-12-01;52.4879552054214
2004-01-01;52.4396330117334
2004-02-01;51.8776614448658
2004-03-01;51.9517117784554
2004-04-01;51.9183253693705
2004-05-01;52.1633066403508
2004-06-01;51.6735584713404
2004-07-01;50.6815278095311
2004-08-01;50.1804174473591
2004-09-01;49.9649294179569
2004-10-01;49.898535650366
2004-11-01;49.3274484695029
2004-12-01;48.9922777431868
2005-01-01;48.1391966277354
2005-02-01;47.9230085881553
2005-03-01;48.3231421857938
2005-04-01;47.4777680950391
2005-05-01;46.4526859794459
2005-06-01;46.3889871659893
2005-07-01;46.3854652954937
2005-08-01;46.3564820523507
2005-09-01;46.1422780514614
2005-10-01;46.0952311504459
2005-11-01;46.1059470330657
2005-12-01;46.3800562559356
2006-01-01;46.4226887905892
2006-02-01;46.1427715951904
2006-03-01;46.418635600062
2006-04-01;45.9111142898365
2006-05-01;46.1903496847323
2006-06-01;45.5896906427999
2006-07-01;45.300452492772
2006-08-01;45.2148856747764
2006-09-01;45.5674877306965
2006-10-01;45.1877339249455
2006-11-01;45.3847033943414
2006-12-01;45.126967917944
2007-01-01;45.1094863643143
2007-02-01;45.0503513121797
2007-03-01;44.7837799567482
2007-04-01;44.2873789428762
2007-05-01;43.4305066084752
2007-06-01;42.8910453640794
2007-07-01;42.3357906339952
2007-08-01;42.6050032078421
2007-09-01;42.5343032390976
2007-10-01;43.3402920065445
2007-11-01;43.4174295839648
2007-12-01;43.3349407658845
2008-01-01;42.6333648824877
2008-02-01;42.6863455518589
2008-03-01;42.0025575580227
2008-04-01;42.1608529882271
2008-05-01;42.1263739367513
2008-06-01;42.7957951070703
2008-07-01;42.3809086061966
2008-08-01;41.890786271565
2008-09-01;40.0412467519033
2008-10-01;38.4112658743081
2008-11-01;37.5052053831818
2008-12-01;37.7556834649181
2009-01-01;38.1875970714489
2009-02-01;38.2506295263023
2009-03-01;37.965633808619
2009-04-01;38.7234865184693
2009-05-01;39.5793918743558
2009-06-01;39.7361745156449
2009-07-01;40.5090111896807
2009-08-01;40.6834145301247
2009-09-01;41.8412294343808
2009-10-01;41.9876378964992
2009-11-01;41.7368453936805
2009-12-01;41.3683137676261
2010-01-01;40.1878401897403
2010-02-01;40.4362282611576
2010-03-01;40.4054140899824
2010-04-01;40.1918575653032
2010-05-01;39.6667084944851
2010-06-01;39.3841619646807
2010-07-01;39.2671364053525
2010-08-01;39.1731597405952
2010-09-01;38.5502729765307
2010-10-01;38.4411441048026
2010-11-01;38.6146240036146
2010-12-01;38.5123125864041
2011-01-01;38.103616419701
2011-02-01;38.0259917988466
2011-03-01;37.9664926976634
2011-04-01;38.0472410553146
2011-05-01;37.9710600564821
2011-06-01;37.6581530744231
2011-07-01;37.2980528857353
2011-08-01;36.7575251981172
2011-09-01;35.0794036207542
2011-10-01;36.253720835871
2011-11-01;35.6963437273949
2011-12-01;35.1236103047827
2012-01-01;35.6411482993628
2012-02-01;35.6640239783153
2012-03-01;34.6056506933413
2012-04-01;33.9913389702503
2012-05-01;33.4262647437343
2012-06-01;33.3855183867594
2012-07-01;33.1171640959059
2012-08-01;33.2397739801726
2012-09-01;33.0627433409053
2012-10-01;33.0513798340041
2012-11-01;32.9144609049766
2012-12-01;32.8211322511998
2013-01-01;32.9331914490743
2013-02-01;33.253206172808
2013-03-01;32.8429921100203
2013-04-01;32.8074245186131
2013-05-01;32.3470515276624
2013-06-01;31.8690414892862
2013-07-01;31.6069173846504
2013-08-01;31.2935637017449
2013-09-01;31.8960082098608
2013-10-01;32.2389149942542
2013-11-01;31.3970053671194
2013-12-01;31.0837981371532
2014-01-01;30.6960886869815
2014-02-01;30.9098636345216
2014-03-01;31.0480248836145
2014-04-01;31.2043412631072
2014-05-01;31.7208060956857
2014-06-01;31.8609175123296
2014-07-01;32.1138708229564
2014-08-01;32.5519640519942
2014-09-01;32.5215325596825
2014-10-01;32.9798558200028
2014-11-01;33.0595810835384
2014-12-01;33.0394389147251
2015-01-01;33.3095500059811
2015-02-01;33.0026623107831
2015-03-01;32.6837833197816
2015-04-01;33.7108226805364
2015-05-01;33.9777323831405
2015-06-01;34.3662294431366
2015-07-01;34.471120525163
2015-08-01;34.202027708395
2015-09-01;34.0702644609025
2015-10-01;35.2850754409206
2015-11-01;36.2292622430083
2015-12-01;37.7233212984011
2016-01-01;38.0006304594269
2016-02-01;38.9916337787889
2016-03-01;39.9882841965103
2016-04-01;40.7181739350193
2016-05-01;41.2701889709931
2016-06-01;42.9040700635898
2016-07-01;43.5211013664276
2016-08-01;44.4849724661005
2016-09-01;45.3042510750297
2016-10-01;45.7358108352559
2016-11-01;45.4433793171731
2016-12-01;47.4846319182327
2017-01-01;48.2268364768914
2017-02-01;48.9937425300282
2017-03-01;49.28294631549
2017-04-01;49.6812308617143
2017-05-01;50.3658384905009
